pair,pairs_removed,total,proportion,n removed,worker_ids
round-pizza,0,12,0.0,0,
red-echinocereus,4,12,0.3333333333333333,4,5adf7fbc09eae200011305a5 5d228245d741d4001aa43eef 5e66856ab10742406840291a 5dac6532ccaa330016e11e8f
round-basketball,1,12,0.08333333333333333,1,5dac6532ccaa330016e11e8f
round-planet,1,12,0.08333333333333333,1,5dac6532ccaa330016e11e8f
red-melon,2,12,0.16666666666666666,2,5adf7fbc09eae200011305a5 5e66856ab10742406840291a
roll-cloth,0,12,0.0,0,
red-pepper,2,12,0.16666666666666666,2,5d228245d741d4001aa43eef 5dac6532ccaa330016e11e8f
roll-surfboard,0,11,0.0,0,
round-lolly,4,12,0.3333333333333333,4,5adf7fbc09eae200011305a5 5b222aff59f9620001c109cb 5d36d1001d6ff70001f0f374 5dac6532ccaa330016e11e8f
roll-fusee,0,12,0.0,0,
_check2-_check2,0,11,0.0,0,
_test2-_test2,0,12,0.0,0,
