,relation,3_Krippendorff,3_Proportional,1_Krippendorff,1_Proportional
0,implied_category,0.26160367478756563,0.6484945984945999,0.2604591700668547,0.6299555707450443
1,affording_activity,0.19683709726113596,0.6546045448484299,0.14914945349575315,0.6722587719298242
2,variability_subcategories,,,0.15726959437296395,0.5796365914786971
3,impossible,0.13490726186600221,0.6584263474548816,0.18392516270799775,0.6795650066642432
4,variability_limited,0.10300313103866643,0.5517180287931287,0.19779549517850015,0.5999895572263994
5,afforded_usual,0.17298067893464397,0.6444166434992119,0.33676740213023026,0.698579782790309
6,typical_of_property,0.23175689009135125,0.7552397323148327,0.32648157968099045,0.6825472772841192
7,creative,0.05968832464677698,0.5445024296858548,0.04001985409548392,0.5248939779474139
8,rare,0.13248799546507017,0.5764438314302455,,
9,typical_of_concept,0.31178536666025025,0.7128809035923674,0.3679099165174623,0.689439507860561
10,afforded_unusual,0.06818030761626148,0.5448892595681584,0.10846033964482626,0.5576232247284877
11,test_true,0.0457863651657312,0.7940766176923415,,
12,_check,0.6062924274863878,0.8842351719222445,0.9046369702846062,0.9644425771189215
13,test_false,0.25818663597094227,0.70276819066492,,
14,unusual,0.1599978459242165,0.5766987126701811,0.12014717855950474,0.5616442505755486
15,variability_open,0.21462082946383632,0.6063655016966959,0.14375078581394984,0.5800808840282531
